"label","subdistrict_id"
"Ambatkwi (Ambatkui), Kabupaten Boven Digoel, Papua","1220"
"Amberbaken, Kabupaten Tambrauw, Papua Barat","6199"
"Ambulu, Kabupaten Jember, Jawa Timur","2202"
"Ambunten, Kabupaten Sumenep, Jawa Timur","6091"
"Amen, Kabupaten Lebong, Bengkulu","3326"
"Amfoang Barat Daya, Kabupaten Kupang, Nusa Tenggara Timur (NTT)","2980"
"Amfoang Barat Laut, Kabupaten Kupang, Nusa Tenggara Timur (NTT)","2981"
"Amfoang Selatan, Kabupaten Kupang, Nusa Tenggara Timur (NTT)","2982"
"Amfoang Tengah, Kabupaten Kupang, Nusa Tenggara Timur (NTT)","2983"
"Amfoang Timur, Kabupaten Kupang, Nusa Tenggara Timur (NTT)","2984"
"Amfoang Utara, Kabupaten Kupang, Nusa Tenggara Timur (NTT)","2985"
"Amonggedo, Kabupaten Konawe, Sulawesi Tenggara","2788"
"Ampana Kota, Kabupaten Tojo Una-Una, Sulawesi Tengah","6668"
"Ampana Tete, Kabupaten Tojo Una-Una, Sulawesi Tengah","6669"
"Ampek Nagari (IV Nagari ), Kabupaten Agam, Sumatera Barat","176"
"Ampel, Kabupaten Boyolali, Jawa Tengah","1240"
"Ampelgading, Kabupaten Malang, Jawa Timur","3601"
"Ampelgading, Kabupaten Pemalang, Jawa Tengah","4938"
"Ampenan, Kota Mataram, Nusa Tenggara Barat (NTB)","3876"
"Ampibabo, Kabupaten Parigi Moutong, Sulawesi Tengah","4738"
"Amuma, Kabupaten Yahukimo, Papua","6925"
"Amuntai Selatan, Kabupaten Hulu Sungai Utara, Kalimantan Selatan","1996"
"Amuntai Tengah, Kabupaten Hulu Sungai Utara, Kalimantan Selatan","1997"
"Amuntai Utara, Kabupaten Hulu Sungai Utara, Kalimantan Selatan","1998"
"Amurang Barat, Kabupaten Minahasa Selatan, Sulawesi Utara","4032"
"Amurang Timur, Kabupaten Minahasa Selatan, Sulawesi Utara","4033"
"Amurang, Kabupaten Minahasa Selatan, Sulawesi Utara","4031"
"Anak Ratu Aji, Kabupaten Lampung Tengah, Lampung","3172"
"Anak Tuha, Kabupaten Lampung Tengah, Lampung","3173"
"Anawi, Kabupaten Tolikara, Papua","6688"
"Andam Dewi, Kabupaten Tapanuli Tengah, Sumatera Utara","6385"
"Andey (Andei), Kabupaten Biak Numfor, Papua","893"
"Andir, Kota Bandung, Jawa Barat","338"
"Andong, Kabupaten Boyolali, Jawa Tengah","1241"
"Andoolo, Kabupaten Konawe Selatan, Sulawesi Tenggara","2817"
"Andowia, Kabupaten Konawe Utara, Sulawesi Tenggara","2839"
"Angata, Kabupaten Konawe Selatan, Sulawesi Tenggara","2818"
"Anggaberi, Kabupaten Konawe, Sulawesi Tenggara","2789"
"Anggana, Kabupaten Kutai Kartanegara, Kalimantan Timur","3025"
"Anggeraja, Kabupaten Enrekang, Sulawesi Selatan","1672"
"Anggi Gida, Kabupaten Pegunungan Arfak, Papua Barat","4848"
"Anggi, Kabupaten Pegunungan Arfak, Papua Barat","4847"
"Anggrek, Kabupaten Gorontalo Utara, Gorontalo","1799"
"Anggruk, Kabupaten Yahukimo, Papua","6926"
"Angkaisera, Kabupaten Kepulauan Yapen (Yapen Waropen), Papua","2672"
"Angkinang, Kabupaten Hulu Sungai Selatan, Kalimantan Selatan","1974"
"Angkola Barat (Padang Sidempuan), Kabupaten Tapanuli Selatan, Sumatera Utara","6372"
"Angkola Sangkunur, Kabupaten Tapanuli Selatan, Sumatera Utara","6373"
"Angkola Selatan (Siais), Kabupaten Tapanuli Selatan, Sumatera Utara","6374"
"Angkola Timur (Padang Sidempuan), Kabupaten Tapanuli Selatan, Sumatera Utara","6375"
"Angkona, Kabupaten Luwu Timur, Sulawesi Selatan","3470"
"Angsana, Kabupaten Pandeglang, Banten","4655"
"Angsana, Kabupaten Tanah Bumbu, Kalimantan Selatan","6233"
"Animha, Kabupaten Merauke, Papua","3962"
"Anjatan, Kabupaten Indramayu, Jawa Barat","2050"
"Anjir Muara, Kabupaten Barito Kuala, Kalimantan Selatan","625"
"Anjir Pasar, Kabupaten Barito Kuala, Kalimantan Selatan","626"
"Anjongan, Kabupaten Pontianak, Kalimantan Barat","5092"
"Anreapi, Kabupaten Polewali Mandar, Sulawesi Barat","5056"
"Antang Kalang, Kabupaten Kotawaringin Timur, Kalimantan Tengah","2880"
"Antapani (Cicadas), Kota Bandung, Jawa Barat","339"
"Anyar, Kabupaten Serang, Banten","5540"
"Apalapsili, Kabupaten Yalimo, Papua","6977"
"Apawer Hulu, Kabupaten Sarmi, Papua","5423"
"Aradide, Kabupaten Paniai, Papua","4720"
"Arahan, Kabupaten Indramayu, Jawa Barat","2051"
"Aralle (Arrale), Kabupaten Mamasa, Sulawesi Barat","3710"
"Aramo, Kabupaten Nias Selatan, Sumatera Utara","4381"
